# Lanczos Gamma Function Verification Results
# Parameters: n=20, g=21.5, digits=160
# Test data source: real_gamma.csv
#
# z, computed, expected (first 30 digits), absolute_error, matching_digits, status
7, 7.2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+2, 720..., 6.2021666801e-173, 161, PASS
7.5, 1.8712543057977883464760770536039504240417145757160984645045800073782573662632660488198679081855213703211956784416385518513133261137277815286724664064316642187357e+3, 1871.2543057977883464760770536..., 5.7656729985e-38, 41, PASS
8, 5.0400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+3, 5040..., 7.3990095390e-172, 161, PASS
8.5, 1.4034407293483412598570577902029628180313456034976562075466334419083582638071732837092406751652201327022081797914803728155796454782860446661159738876927201579660e+4, 14034.407293483412598570577902..., 1.6429163093e-37, 41, PASS
9, 4.0320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+4, 40320..., 9.4883200200e-171, 161, PASS
9.5, 1.1929246199460900708784991216725183953266231629058364234227380608620866833075377003967485032464822565333388281255359238009864498524191657397684662127114582934578e+5, 119292.46199460900708784991216..., 6.6352785422e-37, 42, PASS
10, 3.6288000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+5, 362880..., 1.3013361806e-169, 161, PASS
10.5, 1.1332783889487855673345741655888924755603020413403119399359943440591102532059326340335486401184779689451149689717764044565336911071713673073411290091489406837706e+6, 1.1332783889487855673345741655..., 3.7330651521e-36, 40, PASS
11, 3.6288000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+6, 3.6288E6..., 1.9007449031e-168, 161, PASS
11.5, 1.1899423083962248457013028738683370993383103280162863177435677540115649745209798125033493870028249670174764812661659783623870816592172024697524828184051472252551e+7, 1.1899423083962248457013028738..., 2.8956726314e-35, 42, PASS
12, 3.9916800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+7, 3.99168E7..., 2.9457599860e-167, 161, PASS
12.5, 1.3684336546556585725564983049485876642390632920546704809543118947809166776956551062264920112965121357871387330556482341242273220090621269487439034666752073915671e+8, 1.3684336546556585725564983049..., 3.0848124150e-34, 42, PASS
13, 4.7900160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+8, 4.790016E8..., 4.8285001475e-166, 161, PASS
13.5, 1.7105420683195732156956228811857345802988207324894680476751482126126078927318468970746348229809724095274801553616061953044729910295165112745176368385683332099881e+9, 1.7105420683195732156956228811..., 4.5265633512e-33, 42, PASS
14, 6.2270208000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+9, 6.2270208E9..., 8.3468968299e-165, 161, PASS
14.5, 2.3092317922314238411890908896007416834034233507522001023839031399977229922825832534282433413374008916934114300026320191493180065472451686991222301892060838443008e+10, 2.3092317922314238411890908896..., 9.2510308940e-32, 41, PASS
15, 8.7178291200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+10, 8.71782912E10..., 1.5178582495e-163, 161, PASS
15.5, 3.3483860987355645697241817899210754409349235130179503126862956477396114555904648429661135602828636129406193115156087166990731811613799788031800919005679865251107e+11, 3.3483860987355645697241817899..., 2.6931577943e-30, 41, PASS
16, 1.3076743680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+12, 1.307674368E12..., 2.8968767489e-162, 161, PASS
16.5, 5.1899984530401250830724817743776669334492895358503935224452165812378736329483483361383186097285778059857078463325795802447069924399127215995592625646483504019897e+12, 5.1899984530401250830724817743..., 1.1634672675e-28, 40, PASS
17, 2.0922789888000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+13, 2.0922789888E13..., 5.7904601954e-161, 161, PASS
17.5, 8.5634974475162063870695949277231504401903305213426006725603123561135081254309595824864549885789580547729283303108309202104618708923446890876310063160820557363710e+13, 8.5634974475162063870695949277..., 8.0524071130e-27, 39, PASS
18, 3.5568742809600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+14, 3.55687428096E14..., 1.2099057611e-159, 161, PASS
18.5, 1.4986120533153361177371791123515513270345035987486920248778830312973637897987756017174060195282230721027572554761215630292456366724278836192948598979652456048031e+15, 1.4986120533153361177371791123..., 1.0548403892e-24, 39, PASS
19, 6.4023737057280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+15, 6.402373705728E15..., 2.6380499642e-158, 161, PASS
19.5, 2.7724322986333718178137813578503699549651230562159451177757497383164831353573121259858066296962066626663625398940350950402334352092921359096023244840016461942592e+16, 2.7724322986333718178137813578..., 4.6757146749e-22, 36, PASS
20, 1.2164510040883199999999999999999999998711751004442610856408371383171382109146446280033469990375340584779809846452094564543679093291117326048710053318401143544206e+17, 1.21645100408832E17..., 1.2882489955e-20, 14, PASS
20.5, 5.4062429823350750447368736478082214099497740125978129150392141376221844879880375180600578384198307290102693052547198650982030977617969306017831364062317152875626e+17, 5.4062429823350750447368736478..., 2.3233923831e-19, 35, PASS
21, 2.4329020081766399999999999999999999966183231368738054139074315370389418908840589288306037060981316457254619488219293462777471157209445396608046830193689586419136e+18, 2.43290200817664E18..., 3.3816768631e-18, 14, PASS
21.5, 1.1082798113786903841710590978006853852258027857911130037113105396334596953700708959704281570935947202336483242797190715666969240688209247693394924612386407323169e+19, 1.1082798113786903841710590978..., 4.2901963253e-17, 36, PASS
22, 5.1090942171709439999999999999999999506469792416992265224529606493537882712643175508359226561834628658234554139577621536226588764236239800130044190517268584866416e+19, 5.109094217170944E19..., 4.9353020758e-16, 15, PASS
22.5, 2.3828015944641843259677770602714735347374652486368080355560641669313215374615082989338504113724745071393519990321114104601071588055874173297080760885321498088078e+20, 2.3828015944641843259677770602..., 5.2721932840e-15, 35, PASS
23, 1.1240007277776076799999999999999999468639927867253354140163711666223057741982490913565899587958172598667462045933276282996230485438424622082093709312355882884434e+21, 1.12400072777760768E21..., 5.3136007213e-14, 17, PASS
23.5, 5.3613035875444147334274983856108150608280166820754830642582672344459775266069162778638838876643616192033776019211242525685187174782063706585499928584283641997503e+21, 5.3613035875444147334274983856..., 5.1095562901e-13, 34, PASS
24, 2.5852016738884976639999999999999995272912430102916111719773089086827151920525459357848940227035116374194811193297756534327734510769520207168811715980718824531068e+22, 2.585201673888497664E22..., 4.7270875698e-12, 18, PASS
24.5, 1.2599063430729374623554621206185412359208208462872393343216434437185604204135504970548693494140566305298373035290515292970717217924571185667986396699381129830198e+23, 1.2599063430729374623554621206..., 4.2344833589e-11, 34, PASS
25, 6.2044840173323943935999999999999963085550239009429987098075359569093773825725845098239480370813198715354481799067644374388182812830425501546411649131617003077990e+23, 6.2044840173323943936E23..., 3.6914449760e-10, 19, PASS
25.5, 3.0867705405286967827708821955154239209793687709297436432308145556543300381208256225102516736997212982885180375065442208713703319827634309848808636214210287941803e+24, 3.0867705405286967827708821955..., 3.1444750652e-9, 33, PASS
26, 1.5511210043330985983999999999999973739462854797978381516962164504856912669015495158245453790850494951261903984490519272731698226484810961483720006273593048305269e+25, 1.5511210043330985984E25..., 2.6260537145e-8, 19, PASS
26.5, 7.8712648783481767960657495985643174560274278264988031730267920332194697820651055650051699521446971016831653841814613895075486790104581347225565362711553223945640e+25, 7.8712648783481767960657495985..., 2.1560881378e-7, 32, PASS
27, 4.0329146112660563558399999999999825558525993962793727353962625748973115974166628896669045514061938120869814576186155996024096318734553799837946585203637053602843e+26, 4.03291461126605635584E26..., 1.7444147400e-6, 20, PASS
27.5, 2.0858851927622668509574236436195359042440993005231402094279182761713287958572770696058164353685874392720607443738278641520725511726147706048790247115957755055815e+27, 2.0858851927622668509574236436..., 1.3935236734e-5, 32, PASS
28, 1.0888869450418352160767999999999889897099545230424545812887297059497343504818510964737218152904629825894076415671937179143715878210954569188300494476592804569940e+28, 1.0888869450418352160768E28..., 1.1010290045e-4, 22, PASS
28.5, 5.7361842800962338401329150199536758915363461963061341289571508647095801146620724145548501979810759205486939185554618667132478732271144664831974268947835200791392e+28, 5.7361842800962338401329150199..., 8.6167035946e-4, 31, PASS
29, 3.0488834461171386050150399999999331199192166090807547842687764183680494667283078977250746900448347866647921319086770596732604669162488301798471879287754733228408e+29, 3.04888344611713860501504E29..., 6.6880080783e-3, 23, PASS
29.5, 1.6348125198274266444378807806867706458344325401270194913736539385423247726566750837195966039275195032633039476618937523348204556171214058103828511194884657095591e+30, 1.6348125198274266444378807806..., 5.1540858670e-2, 31, PASS
30, 8.8417619937397019545436159999996052398172188445629843711397558467401183608192445923462494117517231662629666715472338443578259502144695580389636822800774031697320e+30, 8.841761993739701954543616E30..., 3.9476018278e-1, 24, PASS
30.5, 4.8226969334909086010917483030258246908803361647837896900339417342791969962646310396294639438030919778818718826071044206495807949415145888222696725882097675840823e+31, 4.8226969334909086010917483030..., 3.0075986431e+0, 30, PASS
31, 2.6525285981219105863630847999997718886691051907372403521550975655418153821557498319519295019401753086982255800146134028562861562740518038634118201477978973217780e+32, 2.6525285981219105863630848E32..., 2.2811133089e+1, 25, PASS
31.5, 1.4709225647147271233329832324227959116622068508388333202391654595487439991615765823757397517759332746270208430632951356748736721407576095391791500694370489236945e+33, 1.4709225647147271233329832324..., 1.7235081491e+2, 31, PASS
32, 8.2228386541779228177255628799987019639302371653656850397144646764946607076507843103813620321251394721062304937453082308828946596575939395935577557927069057677380e+33, 8.22283865417792281772556288E3..., 1.2980360697e+3, 26, PASS
32.5, 4.6334060788513904384988971821313750214318893050846164928887404963562493489983511584689259059954596846186304680458475522418858204646868080226722175305659933526836e+34, 4.6334060788513904384988971821..., 9.7500537100e+3, 30, PASS
33, 2.6313083693369353016721801215992692145717403928783085958927206969319348365731273228681824221526385146143704182499551692819342330506820284843202263712382296609082e+35, 2.6313083693369353016721801216..., 7.3078542820e+4, 28, PASS
33.5, 1.5058569756267018925121415841924669568363688619465171307496744183559502314605423886476409797709654070480153024210124777586778363948210994883681590229811989401888e+36, 1.5058569756267018925121415841..., 5.4680187450e+5, 30, PASS
34, 8.6833176188118864955181944012759139536174020530452276819075714513308592374027632363056005584314700904110679945295211545299018656383550880331729379901488954153410e+36, 8.6833176188118864955181944012..., 4.0860463825e+6, 29, PASS
34.5, 5.0446208683494513399156743070435456048259233454101249988938352644679799185437750825215442032706091184548966072955887184349303785961840175356883546617487031508685e+37, 5.0446208683494513399156743070..., 3.0504868557e+7, 30, PASS
35, 2.9523279903960414084761860964329239999470767607765496763697465566424587069872103981664494096336328222936283245284909722402898727672919526896196577127609020554831e+38, 2.9523279903960414084761860964..., 2.2760000529e+8, 30, PASS
35.5, 1.7403941995805607122709076359293780171866668489281334674965632708703181961022694143616844508304419708532611747719369613357923738771754031963175750135576847539849e+39, 1.7403941995805607122709076359..., 1.6976344435e+9, 29, PASS
36, 1.0333147966386144929666651337510537930001284307325929706034810648505186823922236803748616093511899274193963639585624862644419764769457877006011652151477543994982e+40, 1.0333147966386144929666651337..., 1.2662069998e+10, 30, PASS
36.5, 6.1783994085109905285617221075458722323154640804164159903643039289826642175948768651526218556308819391533925245096398381629330616368608225402343857380510819016839e+40, 6.1783994085109905285617221075..., 9.4463309710e+10, 29, PASS
37, 3.7199332678990121746799944815013015092442653021248223773205311843958376133557694805829296082430549188069595202570428926251948514835535730051882682071587409322977e+41, 3.7199332678990121746799944815..., 7.0504907550e+11, 30, PASS
37.5, 2.2551157841065115429250285692524254730862494649026803492020286775169321468152425869862536612285651041483990125517388774379819500090453603910923954655789915689656e+42, 2.2551157841065115429250285692..., 5.2658025135e+12, 30, PASS
38, 1.3763753091226345046315979581541539925633646722160170106836600600922624699027516893859149857611535145288262207601628367857302243095541772017121883428729791259629e+43, 1.3763753091226345046315979581..., 3.9362474366e+13, 30, PASS
38.5, 8.4566841903994182859688571346868879362827389410187295900921545278020620117970409826632649970373408361877835451717026205034806577324039570863422152174106666046297e+43, 8.4566841903994182859688571347..., 2.9454347216e+14, 28, PASS
39, 5.2302261746660111176000722409786762906347511567876845083843405145880533609881377652880497975650947443123261039583273786572982689386716623518171758108738573067805e+44, 5.2302261746660111176000722410..., 2.2066621365e+15, 27, PASS
39.5, 3.2558234133037760400980099968492376557631680936389271532572309367951083935948440980289991478957313571427352689462534457008350258894795346434713579629639219709198e+45, 3.2558234133037760400980099968..., 1.6554123384e+16, 29, PASS
40, 2.0397882081197443358640281739778526205294422891113793535450051010898231171898908383261560124516626773856430747873677068315407667761958440186068623402425291408874e+46, 2.0397882081197443358640281739..., 1.2437115150e+17, 29, PASS
40.5, 1.2860502482549915358387139487526287264314289871315653550986340381906025667259219744888228837537154937412221099559575479172202829146218654267506104983033045933354e+47, 1.2860502482549915358387139487..., 9.3590263310e+17, 29, PASS
41, 8.1591528324789773434561126958906102014671126447814909986955319484805211481237016635157742306187866175801931078287521919447529262651782491577943016313522579353050e+47, 8.1591528324789773434561126959..., 7.0548741252e+18, 28, PASS
41.5, 5.2085035054327157201467914924327731876014563387576610471651288714975401594968001539596287527035628162280865363145885444109269436712592480810967895203680913492328e+48, 5.2085035054327157201467914924..., 5.3277211089e+19, 29, PASS
42, 3.3452526613163807108170062053037636017608804419561730730379764546133860965231784811816397462172708858742907637117323515752607383389405071890444603299754500230959e+49, 3.3452526613163807108170062053..., 4.0311564754e+20, 29, PASS
42.5, 2.1615289547545770238609184693511481422205945721860002688107313369387072589347923873156680235802595601927763853196608826999802578400063531537439977316176185393663e+50, 2.1615289547545770238609184693..., 3.0562773236e+21, 29, PASS
43, 1.4050061177528798985431426062212913325919172347960812972981693160114336826683140155081316131986325232463346843255367676854537233164619468686927016945440760344873e+51, 1.4050061177528798985431426062..., 2.3220237344e+22, 29, PASS
43.5, 9.1864980577069523514089034946954705413440766204398869100694801871082523980601383385489688355880844112687425054751982985754350837010853787448650775719732193228750e+51, 9.1864980577069523514089034948..., 1.7680084934e+23, 28, PASS
44, 6.0415263063373835637355132067164797898213684815240442435399057319671044599554946955596042673727358241072900553825622841099036204029750425136450644585075689539529e+52, 6.0415263063373835637355132068..., 1.3491996090e+24, 28, PASS
44.5, 3.9961266551025242728628730201662403181358447131373041647557842571703899422131092970562265353494208593750129129896369387411667338257179991391966795812865609592822e+53, 3.9961266551025242728628730202..., 1.0319773681e+25, 28, PASS
45, 2.6582715747884487680436258109354948587307903438717885744538412825183132962790757720384631663668092761721063043588218322964149369565655809483528383646366110526427e+54, 2.6582715747884487680436258110..., 7.9121031580e+25, 27, PASS
45.5, 1.7782763615206233014239784939590913169173417705509519028091011867503383334013515890648567243555437962239191188440827493292162332825582039061973321844962654248753e+55, 1.7782763615206233014239784940..., 6.0808617535e+26, 27, PASS
46, 1.1962222086548019456196316149097269517426441975066544475653651120813585048400226558408761638950062689133945812714839414215768693650229005731909780722046309395655e+56, 1.1962222086548019456196316149..., 4.6850198901e+27, 29, PASS
46.5, 8.0911574449188360214791021474286761950028332833597280809329241573060736732464883047126356914847386518936816744816790938239414060669791080782062248929270600669360e+56, 8.0911574449188360214791021477..., 3.6186850675e+28, 28, PASS
47, 5.5026221598120889498503054285200333958144564335543345260632813215869880025422385148645351902497880473954850963904479005581060364346218829263640776927909677072957e+57, 5.5026221598120889498503054288..., 2.8022149714e+29, 28, PASS
47.5, 3.7623882118872587499877824985050427291037943695183386864590938034769419019936170275815831228682528172833978949527318350830175246704217814819194535669940548717291e+58, 3.7623882118872587499877824987..., 2.1756055721e+30, 28, PASS
48, 2.5862324151116818064296435513667631517691838594045084109424309250286705948938385415010133301858644491270952553903931534214428964268881541048108421205266937823643e+59, 2.5862324151116818064296435515..., 1.6935664792e+31, 28, PASS
48.5, 1.7871344006464479062441966867610517027831260442909296531563501049086089027604071536057145663583507005800579889175463229970365221069812449823563568749422483383479e+60, 1.7871344006464479062441966868..., 1.3218485821e+32, 28, PASS
49, 1.2413915592536072670862289046338873080780373715686661489204159359868250492422188768476934078371967293449888439474878141225045936603203619911700316410472467332800e+61, 1.2413915592536072670862289047..., 1.0345019577e+33, 28, PASS
49.5, 8.6676018431352723452843539306203717957865929887934485071733023168053683072013294888316423445113779947267290918874691955467773703656934437656629914163700462491480e+61, 8.6676018431352723452843539314..., 8.1182552500e+33, 27, PASS
50, 6.0828186403426756087225216325741221066552059146738580292652943738233707205454150517734944137308942231650516822655311285260995727606653877442038906318962891601133e+62, 6.0828186403426756087225216332..., 6.3883166222e+34, 27, PASS
#
# ==============================
# Summary
# ==============================
# Total tests:        100
# Passed (>= 8 digits): 100/100
# Min matching digits: 14
# Max matching digits: 161
# Avg matching digits: 55.24
